post_title,post_content,post_status,post_type,post_thumbnail,field_55c7c29fbe1c4,field_555cf6c5d6bee,field_555cf6f2d6bef,field_555cf720d6bf0,field_555cf76fbd4c3,field_555cf7dbbd4c4,field_555cf80fbd4c5,field_555cf829bd4c6,field_555cf84581799,field_555cf8fb6923d,,field_555cf87d12feb,field_555cf89f12fec
TransCanada spill,"<p>On 15 July 2005, at approximately 1030 mountain daylight time, an employee of Terasen Pipelines (Trans Mountain) Inc. discovered crude oil on the pipeline right-of-way, on the north side of Ward Road, Abbotsford, British Columbia. Before the discovery, the company had been delivering crude oil out of the Sumas Tank Farm when it received odour complaints from local residents. Approximately 210 cubic metres of crude oil was released into the surrounding area and made its way into Kilgard Creek.</p><p>During the week leading up to the discovery of the location of the rupture, Terasen received five odour complaints from the area immediately south of the Sumas Tank Farm. Each complaint was investigated by a Burnaby operations employee without determining the cause of the odours.<br></p>",Published,Spill,http://pipewatch.org/files/public/files/photos/p05h0044_figure_1.gif,,Pipeline,Unknown,2005,"210,000 Litres | Oil,","TransCanada | http://www.transcanada.com/,",,"Approximately 210 cubic metres (m3) of crude oil was released into the surrounding environment, affecting a main area covering approximately 5755 square metres (m2). The total area requiring remediation was 14 300 m2. The crude oil entered a watercourse, upstream of Ward Road, which supplies flow and nutrients to downstream fish-bearing waters. The wetlands upstream of Ward Road support amphibians, shrews, deer, garter snakes, and various birds. Approximately 5150 m3 of organic soil (peat) was removed from the wetland area during the remediation activities.",,49.0719541655301|-122.1948766708374,,,
Trans-Northern Pipelines spill,"<p>At approximately 1053 eastern standard time, on 07 December 2002, Trans-Northern Pipelines Inc. was delivering refined petroleum products into the company station at Cornwall, Ontario, when a high-pressure situation occurred, resulting in rupture of the mainline pipeline between the Como pump station and the Lancaster pump station, near Saint-Clet, Quebec. Approximately 32 cubic metres of low sulphur diesel was released to the surrounding area and made its way into the Saint-Emmanuel drainage system.</p>",Published,Spill,,,Pipeline,Human Error,2002,"32,000 Litres | Diesel,","Trans-Northern Pipelines | http://www.tnpi.ca/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2002/p02h0052/p02h0052.asp,",45.34345888780142|-74.278564453125,,,
TransCanada explosion,"<p>At approximately 2300 Central daylight time, on 14 April 2002, a rupture occurred on the 914-millimetre-diameter natural gas transmission pipeline, at a zone of near-neutral (low) pH stress corrosion cracking, on Line 100-3of the TransCanada PipeLines, at main-line valve 31-3 + 5.539 kilometres, approximately two kilometres from the village of Brookdale, Manitoba. Following the rupture, the sweet natural gas ignited. With the automatic closure of main-line valves upstream and downstream of the rupture site, the fire self-extinguished at 0230 on 15 April 2002. There were no injuries. As a precautionary measure, approximately 100 people were evacuated from the occurrence area within a four-kilometre radius, including the village of Brookdale, for a period of one day.</p><p>Photo by Winnipeg Free Press.</p>",Published,Spill,http://pipewatch.org/files/public/files/photos/5604870.jpg,,Explosion,Maintenance,2002,"Unknown Litres | Other,","TransCanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2002/p02h0017/p02h0017.asp,CBC | http://www.cbc.ca/news/canada/manitoba/corrosion-cracking-blamed-for-brookdale-gas-blast-1.477707,",50.03387870129903|-99.59569931030273,,,
Enbridge rupture,"<p>At 0836 mountain standard time on 29 September 2001, a rupture occurred on the Enbridge Pipelines Inc. 508-millimetreoutside diameter Line 10 at Mile Post 1885.64, near Binbrook, Ontario. Line 10 transports crude oil from Westover, Ontario, to Buffalo, New York, United States. The rupture occurred in an agricultural field planted with soybeans. Within eight minutes of the rupture, the control centre operator in Edmonton, Alberta, shut the line down and began to sectionalize it. Approximately 95 cubic metres of crude oil were released.</p>",Published,Spill,,,Pipeline,Human Error,2001,"95,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2001/p01h0049/p01h0049.asp,",43.11971813686748|-79.79181289672852,,,
Enbridge spill,"At 0045 mountain standard time on 17 January 2001, a rupture occurred on the Enbridge Pipelines Inc. 864-millimetreoutside diameter Line 3/4 at Mile Post 109.42, 0.8 kilometres downstream of the Hardisty pump station near Hardisty, Alberta. The rupture occurred in a permanent slough that was fed by an underground spring. Although the line was shut down at the control centre in Edmonton, Alberta, within minutes of the rupture, the exact location of the rupture was not found until 1415 mountain standard time. Approximately 3800 cubic metres of crude oil was released and contained within a 2.7-hectare section.",Published,Spill,http://pipewatch.org/files/public/files/photos/digging.jpg,,Pipeline,Maintenance,2001,"3,800,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2001/p01h0004/p01h0004.asp,",52.6492605442208|-111.2706470489502,,,
Westcoast Energy explosion,"At 0250 Pacific standard time on 07 August 2000, a rupture occurred at a localized hard spot on the Westcoast Energy Inc. 762-millimetre outside diameter T-South Mainline at Mile Post 569.9 near the Zopkios rest stop at Exit 217, Coquihalla Highway, British Columbia. Several vehicles at the rest stop were damaged as a result of thrown debris from the explosion. There were no injuries. The Coquihalla Highway was closed to traffic for 3 Ã‚Â_ hours following the rupture.",Published,Spill,,,Explosion,Maintenance,2000,"Unknown Litres | Other,","Westcoast Energy | https://noms.wei-pipeline.com/,Spectra | http://www.spectraenergy.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2000/p00h0037/p00h0037.asp,",49.59413344554271|-121.1232376098633,,,
Enbridge spill,"At 2059 mountain standard time (MST) on 20 May 1999, Line 3 on the Enbridge Pipelines Inc. (Enbridge) pipeline system ruptured, releasing 3 123 cubic metres (m3) (20,600 barrels) of Cold Lake heavy crude oil. Approximately 3.6 hectares (ha) (8.8 acres) of farmland was affected by crude oil.",Published,Spill,,,Pipeline,Maintenance,1999,"3,123,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1999/p99h0021/p99h0021.asp,",50.44624598850225|-104.4809246063232,,,
Enbridge spill,"Enbridge Inc. says there has been a spill of an estimated 1,350 barrels of oil from its Line 4 pipeline at the Regina Terminal in Saskatchewan.
Enbridge says the pipeline and pumping station were safely shut down after the spill, which occurred Tuesday night.
It says the release occurred entirely within the pumping station and was contained on-site in designated catchment areas.",Published,Spill,,,Pipeline,Unknown,2014,"170,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Canadian Business | http://www.canadianbusiness.com/business-news/enbridge-reports-spill-at-regina-pump-station-says-spill-contained-on-site/,",50.48530971003748|-104.5927619934082,,,
TransCanada explosion,"<p>At 0742 Central standard time on 02 December 1997, a rupture occurred at an area of external corrosion on the TransCanada PipeLines Limited 914-millimetre outside diameter Line 100-3 at main line valve 5-3 + 15.049 kilometres near Cabri, Saskatchewan. Approximately 3 252 Ãƒâ€” 103cubic metres of natural gas was released as a result of the rupture. The gas ignited immediately, resulting in damage to the surrounding soil and vegetation. The main fire self-extinguished within 20 minutes of the line break.</p><iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/Z8lrqbDJGpo""></iframe><p><br></p>",Published,Spill,,,Explosion,Maintenance,1997,"3,252,000 m3 Litres | Other,","TransCanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1997/p97h0063/p97h0063.asp,",50.62354842952082|-108.4711074829102,,,
Westcoast Energy explosion,"At 0755 Pacific daylight time on 30 April 1997, a rupture occurred on the Westcoast Energy Inc. 219.1-millimetre (8-inch) outside diameter Monias pipeline at Mile Post 20 near Fort St. John, British Columbia. Approximately 85,000 cubic metres of sour natural gas was released and ignited.",Published,Spill,,,Explosion,Other,1997,"85,000 m3 Litres | Other,","Westcoast Energy | https://noms.wei-pipeline.com/,Spectra | http://www.spectraenergy.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1997/p97h0024/p97h0024.asp,",56.27348020214189|-120.9093475341797,,,
TransCanada explosion,"<p>At 1815 eastern standard time (EST), on 15 April 1996, a rupture, followed by an explosion and fire at 1829 EST, occurred on the TransCanada PipeLines Limited 864-millimetre (34-inch) natural gas pipeline, at Kilometre Post Mainline Valve 39-2 + 6.07 kilometres, 10 kilometres southwest of Winnipeg, near the town of St. Norbert, Manitoba.</p>",Published,Spill,,,Explosion,Other,1996,"Unknown Litres | Other,","TransCanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1996/p96h0012/p96h0012.asp,",49.76441298901348|-97.13407516479492,,,
Interprovincial Pipe Line spill,"At 0619 mountain standard time, on 27 February 1996, a rupture occurred on the Interprovincial Pipe Line Inc. 864-millimetre outside diameter pipeline designated as Line 3, at Mile Post 506.6830 near Glenavon, Saskatchewan. Approximately 800 cubic metres (m3) (5,000 barrels) of heavy crude oil was released and collected in a low-lying area near the site.",Published,Spill,,,Pipeline,Maintenance,1996,"800,000 Litres | Oil,","Interprovincial Pipe Line | http://www.interpipeline.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1996/p96h0008/p96h0008.asp,",50.19665490204992|-103.1503772735596,,,
Interprovincial Pipe Line spill,"Following the start-up of Line 2B after the completion of scheduled maintenance work at Cromer Station, the Interprovincial Pipe Line Inc. (IPL) line ruptured at Mile Post (MP) 717.5, releasing approximately 4,000 cubic metres (m3) of synthetic crude oil into a cultivated field.",Published,Spill,,,Pipeline,Maintenance,1994,"4,000,000 Litres | Oil,","Interprovincial Pipe Line | http://www.interpipeline.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1994/p94h0048/p94h0048.asp,",49.36583057550349|-98.59628677368164,,,
Foothills Pipe Lines fire,"At approximately 1940 mountain standard time (MST), on 15 February 1994, a rupture and a fire occurred on the Foothills Pipe Lines (Sask.) Ltd. 1,067-millimetre (42-inch) natural gas pipeline at Kilometre Post 66 + 041 near Maple Creek, Saskatchewan.",Published,Spill,,,Pipeline,Other,1994,"Unknown Litres | Other,","Foothills Pipe Lines | http://www.foothillspipe.com/,TransCanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/1994/p94h0003/p94h0003.asp,",49.91536433745949|-109.4827938079834,,,
TransCanada explosion,"<p>The explosion and fire at a TransCanada Pipelines valve site near St. Pierre-Jolys happened early Saturday morning, sending a massive fireball into the dark sky.</p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/D-bp1DzJ7so""></iframe>",Published,Spill,http://pipewatch.org/files/public/files/photos/Otterburne-Explosion3.jpg,"http://pipewatch.org/files/public/files/photos/image (3).jpg,",Explosion,Unknown,2014,,"TransCanada | http://www.transcanada.com/,",,,"CBC | http://www.cbc.ca/news/canada/manitoba/natural-gas-pipeline-explodes-near-otterburne-man-1.2510873,Huffington Post | http://www.huffingtonpost.ca/2014/01/25/manitoba-pipeline-explosion_n_4664774.html,",49.50570460476116|-97.05802917480469,,,
Husky Toxic Water spill,"<p>On Jan 6, 2015 Husky Oil reported to the AER that a pipeline 4Km South East of Green Glade Alberta had leaked at least 100,000 litres of produced toxic water. The company says that the release is now contained, but they did not release how the pipeline leaked in the first place.</p>",Published,Spill,,,Pipeline,Unknown,2015,"100000 litres Litres | Toxic water,","Husky | http://www.huskyenergy.ca/,",,,"Oil Spill Alberta | http://oilspillalberta.com/another-100000-litres-of-produced-toxic-water-by-husky-oil/,",52.46238985710387|-110.1975059509277,,,
Husky Toxic Water spill,"<p>On Jan 15, Husky Oil Operations reported to the AER that a pipeline leak had occurred just 4Km South West of Vermillion Alberta. the spill that leaked 10,000 litres of produced toxic water was a result of a mechanical failure.</p>",Published,Spill,,,Pipeline,Mechanical,2015,"10000 litres Litres | Toxic water,","Husky | http://www.huskyenergy.ca/,",,,"Oil Spill Alberta | http://oilspillalberta.com/husky-oil-operations-spills-another-10000-litres-of-toxic-produced-water-near-vermillion/,",53.32179944260373|-110.8926486968994,,,
Twin Butte mixed spill,"<p>On Jan 30, Twin Butte Energy reported to the AER that a pipeline 10Km South West of Provost Alberta had occurred releasing 40,000 litres. The company estimates the release at 35,000 litres produced toxic water and another 5,000 litres of Crude Oil.</p>",Published,Spill,,,Pipeline,Mechanical,2015,"35000 litres Litres | Toxic water,5000 Litres | Crude oil,","Twin Butte Energy inc | http://www.twinbutteenergy.com/,",,,"Oil Spill Alberta | http://oilspillalberta.com/twin-butte-energy-ltd-spills-40000-litres-of-produced-water-mixed-with-oil/,",52.31078758386617|-110.2931213378906,,,
Tanker spill into wetlands,"<p>A semi-trailer hauling gasoline rolled over on Highway 2 north of Calgary early Tuesday morning, spilling thousands of litres of fuel into wetlands.</p>",Published,Spill,,,Automobile,Unknown,2015,"25000 litres Litres | Gasoline,4500 Litres | Diesel,","G&B Fuels | http://gbfuels.biz/,",,,"CBC | http://www.cbc.ca/news/canada/calgary/gas-tanker-rolls-over-on-highway-near-calgary-spilling-25-000-litres-into-wetlands-1.2919687,",51.21623908564087|-113.997745513916,,,
Husky toxic water spill,"<p>On Jan 15, Husky Oil Operations reported to the AER that a pipeline leaked 46,000 litres of Toxic produced water just 3Km South of Vermilion Alberta.&nbsp; The company fenced off a portion of land to keep horses in the area from being poisoned/impacted. The emergency phase was reported to be over. The company also reports that the free fluids have been removed, and impacted soils are being cleanup.</p>",Published,Spill,,,Pipeline,Mechanical,2015,"46000 litres Litres | Toxic water,","Husky | http://www.huskyenergy.ca/,",,,"Oil Spill Alberta | http://oilspillalberta.com/husky-oil-operations-limited-spills-46000-litres-after-gasket-failed/,",53.32010755215626|-110.9001159667969,,,
Enbridge oil spill,"<p>Approx. 750 barrels (investigation ongoing).&nbsp;Line 37, constructed in 2006, a 17-kilometre-long, 12-inch diameter pipe links the Long Lake oil sands upgrader&nbsp;to the Cheecham terminal and is part of EnbridgeÃ¢â‚¬â„¢s Athabasca system.Unusually heavy rainfall in the region, that caused the 2013 Alberta floods, may have caused Ã¢â‚¬Å“ground movement on the right-of way that may have impacted the pipeline.Ã¢â‚¬Âù</p><p>EnbridgeÃ¢â‚¬â„¢s Athabasca (Line 19) shares a portion of right of way with Line 37 and EnbridgeÃ¢â‚¬â„¢s Wood Buffalo/Waupisoo (Line 75/18) which also shares a portion of right of way with Line 37, a major part of the network that serves AlbertaÃ¢â‚¬â„¢s oil sands,were closed down as a precautionary measure. Operations between Hardisty and Cheecham were restored on June 23 when EnbridgeÃ¢â‚¬â„¢s Athabasca pipeline (Line 19) was restarted</p>",Published,Spill,,,Pipeline,Unknown,2013,"89430 litres Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Line 9 Communities | http://line9communities.com/history-of-enbridge-spills/,",56.4354040228546|-111.1352920532227,,,
CN oil rail spill and fire,"<p>Several tanker cars caught fire after a Canadian National Railway train carrying crude oil derailed in northern Ontario, prompting officials to advise nearby residents to stay indoors and avoid consuming water from local sources.</p><p>CN said its crew reported the derailment to emergency services at about 2:45 a.m. ET Saturday. Police said the train was 30 to 40 cars in length and 10 cars went off the track four kilometres northwest of&nbsp;Gogama, Ont.&nbsp;<br></p><p>Some of the rail cars that caught fire&nbsp;entered the&nbsp;Mattagami&nbsp;River System, CN and police said.&nbsp;Residents of&nbsp;Mattagami&nbsp;First Nation were being advised not to consume water from their community source for the time being.&nbsp;Residents ofGogama&nbsp;and&nbsp;Mattagami&nbsp;First Nation were also being asked to stay inside until further notice due to possible smoke inhalation.</p><iframe src=""http://www.cbc.ca/i/caffeine/syndicate/?clipId=2657669457"" width=""620"" height=""348""></iframe>",Published,Spill,,,Train,Unknown,2015,"700000 litres Litres | Oil,","CN rail | http://www.cn.ca/,",,,"CBC News | http://www.cbc.ca/news/canada/sudbury/gogama-derailment-shows-feds-need-to-act-on-train-safety-mpps-say-1.2986150,CBC news | http://www.cbc.ca/news/canada/sudbury/train-carrying-crude-oil-derails-near-gogama-ont-1.2985703,",47.70213741604928|-81.74695014953613,,,
CN rail bitumen spill,"<p>While investigators continue to search for the cause of a CN train Saturday near Gogama, Ont., the environmental impact is becoming more apparent.</p><p>Black charred oil tankers lie on their sides in snow stained by crude oil.</p><p>CN said the derailed train was carrying diluted bitumen from Alberta to eastern Canada.</p>",Published,Spill,,,Train,Unknown,2015,"300000 litres Litres | Diluted bitumen,","CN rail | http://www.cn.ca/,",,,"CBC news | http://www.cbc.ca/news/canada/sudbury/gogama-oil-spill-raises-concerns-about-environmental-damage-1.2961404,",47.97705279557946|-81.86187744140625,,,
Lac-MÃƒÂ©gantic train disaster,"<p>An&nbsp;October update now says nearly 6 million litres Ã¢â‚¬â€ù 5.978 million to be precise Ã¢â‚¬â€ù burned or was spilled in the devastating accident that left 47 people dead.</p><p>Oil saturated the ground around the crash site, the townÃ¢â‚¬â„¢s sewer system, and spilled into the lake and nearby ChaudiÃƒÂ¨re River. Oil also reached as far as 120 kilometres downriver from the crash site, the environment department said last month. An estimated 100,000 litres of oil spilled into the ChaudiÃƒÂ¨re River.<br></p>",Published,Spill,,,Train,Human Error,2013,"5978000 litres Litres | Crude oil,","undefined | ,",,,"Montreal Gazette | http://www.montrealgazette.com/news/M%C3%A9gantic+spill+even+worse+than+first+feared+investigation+shows/9063521/story.html,",45.57767288623369|-70.87833881378174,,,
Marathassa bunker fuel spill,"<p>Wednesday, April 8, approximately 2,700 litres of oil spilled by a grain tanker in English Bay.</p>",Published,Spill,http://pipewatch.org/files/public/files/photos/11149555_10152676284716193_6258312341052041126_n.jpg,"http://pipewatch.org/files/public/files/photos/11084248_10152676284871193_5502563495669387944_n.jpg,http://pipewatch.org/files/public/files/photos/11036488_10152676285071193_7487744800077285253_n.jpg,http://pipewatch.org/files/public/files/photos/CCJ4gf-UsAIUs4_.jpg,http://pipewatch.org/files/public/files/photos/CCJ6o0hUgAE4rhu.jpg,",Ship,Unknown,2015,"2700 litres Litres | Bunker fuel,",,,,"CBC | http://www.cbc.ca/news/canada/british-columbia/vancouver-oil-spill-part-of-stanley-park-seawall-english-bay-closed-for-cleanup-1.3027944,Vancity Buzz | http://www.vancitybuzz.com/2015/04/cargo-ship-spills-oil-vancouvers-english-bay-photos/,",49.30318803243171|-123.2054901123047,,,
Delta WesPac LNG,"In-service date of 2016, feed gas required at this LNG project.",Published,proposed-project,,,,,,,,,,,49.14311665864596|-123.0340433120728,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Port Alberni Inlet Steelhead LNG,"<p>2022 in-service date, 3.7 feed gas required.</p>",Published,proposed-project,,,,,,,,,,,48.88373910516238|-125.0358295440674,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Campbell River Discovery LNG,"<p>2021 in-service date, 2.86 feed gas required.</p>",Published,proposed-project,,,,,,,,,,,50.02447777254809|-125.2472949028015,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Squamish Woodfibre LNG,"2017 in-service, 0.3 feed gas required.",Published,proposed-project,,,,,,,,,,,49.66907213727817|-123.252010345459,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Kitimat LNG,"No in-service date listed, 1.5 feed gas required.",Published,proposed-project,,,,,,,,,,,53.92678337346796|-128.7542724609375,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Kitimat Cedar LNG,"2020 in-service date, 2.4 feed gas required.",Published,proposed-project,,,,,,,,,,,53.9259747463536|-128.7278366088867,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Kitimat Douglas Channel LNG,"<p>2018 in-service date, 0.125 feed gas required, 1.8 MMTPA LNG production.</p>",Published,proposed-project,,,,,,,,,,,53.96376131368407|-128.7038040161133,LNG,,
Kitimat LNG Canada,"2019 in-service date, 3.7 feed gas required, 24 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,53.99959658292718|-128.6876678466797,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Port of Prince Rupert Pacific NorthWest LNG,"2018 in-service date, 2.74 feed gas required, 19.2 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,54.19960444523557|-130.2889251708984,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Port of Prince Rupert LNG,"2019 in-service date, 4.2 feed gas required, 21 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,54.2170730662912|-130.3108978271484,LNG,,
Prince Rupert Watson Island LNG,No details listed.,Published,proposed-project,,,,,,,,,,,54.23533693908522|-130.294075012207,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Prince Rupert Orca LNG,"2019 in-service date, 3.2 feed gas required, 24 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,54.31391974456727|-130.3313255310059,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Prince Rupert WCC LNG Ltd.,"2023 in-service date, 4.0 feed gas required, 30 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,54.35845686099193|-130.2485847473145,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Prince Rupert Grassy Point LNG,"2021 in-service date, 2.6 feed gas required, 20 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,54.59633447973611|-130.4084014892578,LNG,,
Prince Rupert Aurora LNG,"2021 in-service date, 3.7 feed gas required, 24 MMTPA LNG production.",Published,proposed-project,,,,,,,,,,,54.62854326045308|-130.4379272460938,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,",
Stewart Energy Project LNG,"Canada Stewart Energy Group Ltd (Stewart Energy) is looking to construct floating and land-based natural gas liquefaction plants, LNG storage, and marine loading facilities in Stewart, B.C. The liquefaction component will initially include floating LNG (Ã¢â‚¬Å“FLNGÃ¢â‚¬Âù) with an annual capacity of 5 MMt commencing in 2017. The remaining 25 MMt liquefaction capacity will be met from land based processing facilities.",Published,proposed-project,,,,,,,,,,,55.92612463920047|-129.9991607666016,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/canada-stewart-energy-project/,",
Triton LNG,"Triton LNG is a partnership between AltaGas Limited and Idemitsu Canada Corporation that is conducting preliminary work for the design and construction of a floating LNG facility.
Triton LNG is preparing preliminary engineering designs for the construction of liquefaction facilities and has identified potential site locations in the vicinity of Kitimat and Prince Rupert, British Columbia.",Published,proposed-project,,,,,,,,,,,53.9560855309879|-128.7144470214844,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/triton-lng/,",
Kitsault Energy Project LNG,"2018 in-service date, 2.6 feed gas required, 20 MMTPA LNG production. Kitsault Energy has expressed an interest to partner in the development of an LNG facility in Kitsault British Columbia.",Published,proposed-project,,,,,,,,,,,55.46309058235968|-129.4695854187012,LNG,"BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/kitsault-energy-project/,",
Red Chris Mine,"<p>Imperial Metals (of Mount Polley spill fame) proposes another mine, this time farther north. </p><p>The proposed Red Chris Mine would be a conventional shovel and truck open-pit copper-gold-silver mine located 18 km southeast of the town of Iskut, in the Stikine watershed in northwestern British Columbia. The proposed mine would process 30,000 tons of ore per day over a mine life of 28 years. Red Chris Development Company Ltd., a wholly owned subsidiary ofImperial Metals Corporation, has a 100% interest in the Red Chris claims and would operate the mine.</p><p>Red Chris is the most advanced mine proposal in the southern transboundary region. The proposed mine is located in theterritory of the Tahltan First Nation, in high value wildlife habitat, with a tailings storage area Ã¢â‚¬â€œ approximately 4 km long and 1.2 km wide Ã¢â‚¬â€œ located in fish bearing waters. Despite First Nations objections and a court challenge that went all the way to the Supreme Court of Canada, Red Chris received an Environmental Assessment Certificate and project construction permits.</p><p>The proposed Red Chris mine poses a high level of risk to water quality and fish habitat, and threatens to devastate wildlife habitat on Todagin Mountain, a sweeping high country plateau above the headwaters lake chain of the Iskut River. The plateau is home to the largest lambing herd of StoneÃ¢â‚¬â„¢s sheep in the world, as well as wolves, grizzlies, caribou, black bears, wolverines, and golden eagles. </p><p>The wildlife habitat at the proposed mine site is contiguous with Todagin South Slope Park, which was designatedas a Class A provincial park in 2001 to protect the StoneÃ¢â‚¬â„¢s sheep critical wintering and lambing habitat. Wolverine, fisher andgrizzly bear are blue-listed species in Todagin Park. Mountain goats are found on the precipitous slopes and cliffs, while lowerslopes provide high quality moose habitat. </p><p>The proposed mine would erode conservation gains made by the establishment of the park. Draining the south side of Todagin plateau is a Y-shaped valley containing Black Lake, Todagin Lake and Kluea Lake, a spawning ground for rainbow trout, which flows downstream into the Iskut River. Under the Fisheries Act of Canada, itÃ¢â‚¬â„¢s illegal to putharmful substances into fish-bearing waters. </p><p>However, under Schedule Two of the mining effluent regulations, lakes can be redefined as Ã¢â‚¬Å“tailings impoundment areas.Ã¢â‚¬Âù Imperial Metals proposes to use Black Lake as a Tailings Impoundment Area, blocking 80% of the stream flow to Todagin and Kluea Lake, and creating long-term contamination concerns. Over the life of the mine, Red Chris could leave behind 183 million tons of toxic tailings and 307 million tons of waste rock, which would likely need to betreated for acid mine drainage in perpetuity.<br></p><p><br></p>",Published,proposed-project,,,,,,,,,,,57.73275168363678|-129.7986602783203,Mine,"Rivers Without Borders | http://riverswithoutborders.org/wp-content/uploads/2013/05/Red-Chris-Briefing-2013-04.pdf,Imperial Metals | http://www.imperialmetals.com/s/RedChris.asp?ReportID=567393,",
Site C Dam,"<p>The proposed Site C project is located in northeast British Columbia, seven kilometres southwest of Fort St. John.</p><p>Site C is a hydroelectric generating system proposed by BC Hydro that, if approved, will be built on the Peace River in northeastern BC. The Peace River, which lies in the heart of Treaty 8 Territory, already hosts two large-scale hydroelectric structures: The WAC Bennett and the Peace Canyon dams. These two dams, which began generating electricity in 1968 and 1980, respectively, destroyed vast amounts of wetland and critical wildlife habitat and interfered with the lives of First Nations peoples.</p><p>The Site C project, which has been proposed since the 1970s and has been opposed by First Nations for the same duration of time, would create a reservoir 83 kilometers long with a surface area of 9,310 hectares. It could impact up to 337 archaeological sites that have been recorded in its identified study area, and would impact Treaty 8 First Nations' constitutionally protected treaty rights.</p><p>Site C hopes to be a third dam and generating station on the Peace River in northeast B.C. The project hopes to provide 1,100 megawatts of capacity and about 5,100 gigawatt hours of energy each year to the provinceÃ¢â‚¬â„¢s integrated electricity system.<br></p>",Published,proposed-project,,,,,,,,,,,56.20278919188905|-120.9253120422363,Dam,"Treaty 8 BC | http://treaty8.bc.ca/current-affairs/site-c/,Site C official website | https://www.sitecproject.com/about-site-c/maps,Wilderness Committee | https://www.wildernesscommittee.org/sitec,",
Hard Creek Nickel Turnagain mine,Hard Crek Nickel Corp. Proposed nickel mine 70 km east of Dease Lake. $1.3 billion in pre-feasibility stage. Start 2015 finish 2017.,Published,proposed-project,,,,,,,,,,,58.6797932484028|-128.9712524414062,Mine,"Hard Creek | http://www.hardcreek.com/s/Turnagain.asp,",
Rock Creek wind energy,"The Rupert Peace Power Corp.'s Rocky Creek Energy Project is a 500 MW wind farm proposal located 40 km south of Chetwynd, British Columbia in the Pine River Watershed. The proposal consists of 200 - 250 wind turbine generators along 3 ridge lines, new access roads, transmission lines, substations, transformers, and operations centre and other ancillary infrastructure.",Published,proposed-project,,,,,,,,,,,55.60123861794095|-121.6543579101562,Wind,"Government of Canada | http://www2.mpmo-bggp.gc.ca/MPTracker/projectsummary-resumedeprojet.aspx?pid=148,",
